1105631975015104513,RonPeper,RT @elconsiglieri1: @manaranjodiaz @JorgeVelezVelez @Patrici02306665 @AtrixIII @AvonbuchwaldS @TaniaGuaranda @JusticeVeraEC @fmaritza @Alba…,
1105632369204183040,EdisonT64,@CynthiaViteri6 Ahora entiendo por qué en las iglesias enseñan a poner la otra mejilla,
1105632559432679424,JorgeVelezVelez,"RT @CdGuayaquil: ¡Continuamos por #ELMejorGuayaquilDeTodosLosTiempos!, el candidato a Alcalde, @jimmyjairala visitó esta tarde las parroqui…",
1105632708829605888,Patrici02306665,RT @manaranjodiaz: @JorgeVelezVelez @Patrici02306665 @AtrixIII @elconsiglieri1 @AvonbuchwaldS @TaniaGuaranda @JusticeVeraEC @fmaritza @Alba…,
1105632755340185600,OrlinTinajero,@jimmyjairala #ElMejorGuayaquilDeTodosLosTiempos,
1105632770976608257,Patrici02306665,RT @AtrixIII: @JorgeVelezVelez @Patrici02306665 @manaranjodiaz @elconsiglieri1 @AvonbuchwaldS @TaniaGuaranda @JusticeVeraEC @fmaritza @Alba…,
1105632807542579200,Patrici02306665,RT @elconsiglieri1: @manaranjodiaz @JorgeVelezVelez @Patrici02306665 @AtrixIII @AvonbuchwaldS @TaniaGuaranda @JusticeVeraEC @fmaritza @Alba…,
1105632857521881088,AbrasDe,"RT @CdGuayaquil: ¡Continuamos por #ELMejorGuayaquilDeTodosLosTiempos!, el candidato a Alcalde, @jimmyjairala visitó esta tarde las parroqui…",
1105633052921876480,barceantonio,"RT @WQRadio_EC: #WQNoticias 

Candidato a la alcaldía de Guayaquil @fcojimenez21

Escucha sus declaraciones en vivo https://t.co/Kf8v0r5Wyh…",
1105633123386212353,jennyrebk,"RT @Pescatorexxxx: ATIENDE BOBAZO
@jimmyjairala   ⤵️ https://t.co/Cn7otlduuA",
1105633497258049546,ARAMIS90188475,@domenitaa @leydemurphy6of1 @ganaderorevoluc @olgaines2010 @amandaasubiar @ARMENDARISMt @agroinclusion @rgdelat… https://t.co/cSBaDlDdYQ,
1105633602115698689,JaimeRu73783894,"RT @EduardoArgudoG: ¡Los invito a vernos en vivo esta noche! Exigimos #JusticiaParaGuayaquil y proponemos una ciudad humana y ecológica, es…",
1105684791008133122,AnaMari24308863,@CynthiaViteri6 @radio_sucre Tiene todo la razon,
1105684817339920384,gharapan,"RT @chaopescaoEC: Andan recorriendo para ver cómo “dragan votos”, no les alcanza ni para el zapatero, 23 puntos de diferencia, no sean tan…",
1105685011729137664,Ironcito9,@CarlosVerareal @CynthiaViteri6 Disculpe Sr. Vera Ud voto por ella durante su campaña presidencial en aquel tiempo atrás?,
1105685023091507200,erwinggw,RT @CarlosVerareal: Un nuevo baluarte en el equipo de @CynthiaViteri6 para concejal... https://t.co/GfBtdoRoMP,
1105685228973101056,robertowongmoli,Real...este todologo añiñado ojala no sea elegido.,
1105686413947912192,diegoolivares55,"RT @cendemocratico: [#BOLETÍN] @cocaespueblo respalda la propuesta de @jimmyjairala de censar, carnetizar y capacitar a los comerciantes au…",
1105686444264353792,Cesar8111983,RT @Cesar8111983: @CynthiaViteri6 @RTS_ElClubEC 😯😯😯😯🐭🐭🐭🐭 https://t.co/oGjgwxhg9X,
1105688109755367424,AmandaHidalgoA,"RT @lulagaray: Con la Futura Alcaldesa de Guayaquil.

La gran, única y auténtica @CynthiaViteri6,

La que ni chilla, ni llora y con quien de…",Wed Mar 13 04:32:42 +0000 2019
